Original Gene ID	Gene Name	Chr	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000031224	Magee2	X	103898558	103900873	-	2316	-0.5446	3.5732	-5.343780444	0.000101405	0.683124606	-1.283517069
ENSMUSG00000036295	Lrrn3	12	41501667	41536430	-	34764	-0.4016	6.7001	-5.072004474	0.000166977	0.683124606	-0.161820272
ENSMUSG00000029033	Acap3	4	155976279	155991708	+	15430	0.2416	7.1540	4.963252192	0.000204406	0.683124606	-0.304936321
ENSMUSG00000045930	Clec14a	12	58311506	58316076	-	4571	0.4215	2.3781	4.36640912	0.000636111	0.70973134	-2.700257687
ENSMUSG00000025151	Maged1	X	93579080	93585749	-	6670	-0.2083	9.5339	-4.33841206	0.000671551	0.70973134	-1.201609334
ENSMUSG00000034403	Pja1	X	98509340	98514879	-	5540	-0.1907	7.8435	-4.309870079	0.00070977	0.70973134	-1.076460704
ENSMUSG00000020674	Pxdn	12	29987607	30067657	+	80051	0.2678	6.5347	4.263608109	0.000776523	0.70973134	-1.058966915
ENSMUSG00000021647	Cartpt	13	100034997	100037599	-	2603	-0.7633	5.1858	-4.226129331	0.000835302	0.70973134	-1.293123806
ENSMUSG00000044320	1700001O22Rik	2	30684781	30693673	-	8893	0.5571	2.5580	4.213520486	0.000856086	0.70973134	-2.68098995
ENSMUSG00000038271	Iffo1	6	125122204	125138745	+	16542	0.1650	5.9357	4.116989187	0.001033808	0.70973134	-1.26567092
ENSMUSG00000021774	Ube2e1	14	4137837	4186974	+	49138	-0.1701	5.4729	-4.093229077	0.001083072	0.70973134	-1.362755685
ENSMUSG00000051537	Gm5124	X	21227104	21230861	+	3758	-0.2006	5.4030	-4.084656772	0.001101429	0.70973134	-1.387258802
ENSMUSG00000026469	Xpr1	1	155151447	155293161	-	141715	-0.2355	7.4023	-4.081040339	0.001109269	0.70973134	-1.307194541
ENSMUSG00000087322	Gm16075	11	75751795	75752320	+	526	0.6509	0.7911	3.999227466	0.001302683	0.70973134	-3.609332916
ENSMUSG00000086968	4933431E20Rik	3	107796166	107803529	-	7364	0.1570	6.8499	3.927047795	0.00150177	0.70973134	-1.464918766
ENSMUSG00000028541	B4galt2	4	117726457	117740684	-	14228	0.1853	6.5236	3.918415464	0.00152757	0.70973134	-1.472233283
ENSMUSG00000040543	Pitpnm3	11	71938354	72026604	-	88251	0.3229	6.6674	3.90353702	0.0015731	0.70973134	-1.492669009
ENSMUSG00000031428	Zcchc18	X	135893904	135899221	+	5318	-0.1728	8.6097	-3.816409294	0.001868857	0.70973134	-1.703126142
ENSMUSG00000041141	Pnmal1	7	16693604	16698532	+	4929	-0.1261	7.7955	-3.783749658	0.001993763	0.70973134	-1.690132492
ENSMUSG00000006373	Pgrmc1	X	35861859	35869732	+	7874	-0.1629	8.2195	-3.763223395	0.002076566	0.70973134	-1.740946557
ENSMUSG00000013629	Cad	5	31212124	31235823	+	23700	-0.1956	4.6573	-3.754310947	0.002113596	0.70973134	-1.950609676
ENSMUSG00000022261	Sdc2	15	32920869	33035081	+	114213	-0.2051	6.2372	-3.718713166	0.002268299	0.70973134	-1.724831249
ENSMUSG00000026207	Speg	1	75351941	75408964	+	57024	0.1712	7.8772	3.71647516	0.002278399	0.70973134	-1.776743074
ENSMUSG00000067344	Rps25-ps1	6	145212126	145212503	+	378	1.3887	-2.5534	3.698983274	0.002358931	0.70973134	-4.286023276
ENSMUSG00000033760	Rbm4b	19	4806525	4817093	+	10569	-0.2102	4.5007	-3.684536185	0.002427612	0.70973134	-2.077294791
ENSMUSG00000036699	Zcchc12	X	35459557	35462811	+	3255	-0.3203	7.8544	-3.683707017	0.002431615	0.70973134	-1.815512431
ENSMUSG00000086496	Gm14204	2	158437392	158452643	-	15252	-0.3319	4.8113	-3.682645039	0.002436751	0.70973134	-1.984996928
ENSMUSG00000035735	Dagla	19	10222629	10282241	-	59613	0.1752	6.7847	3.672782847	0.002484977	0.70973134	-1.779295354
ENSMUSG00000067578	Cbln4	2	171878153	171885386	-	7234	-0.6585	3.6668	-3.664407764	0.002526689	0.70973134	-2.458666389
ENSMUSG00000034157	Cipc	12	86993817	87012136	+	18320	0.1878	7.1923	3.647664886	0.002612209	0.70973134	-1.824512079
ENSMUSG00000029009	Mthfr	4	148123534	148144008	+	20475	0.2196	5.5145	3.629764674	0.00270688	0.70973134	-1.90587461
ENSMUSG00000053310	Nrgn	9	37455788	37464200	-	8413	0.6264	8.6429	3.613390136	0.002796514	0.70973134	-1.948025422
ENSMUSG00000040033	Stat2	10	128106428	128128718	+	22291	0.1726	4.7279	3.568288528	0.003059199	0.70973134	-2.138290241
ENSMUSG00000026192	Atic	1	71596309	71618790	+	22482	-0.1837	4.9315	-3.551565983	0.003162801	0.70973134	-2.102914242
ENSMUSG00000026883	Dab2ip	2	35448278	35621006	+	172729	0.2747	6.8141	3.537898361	0.003250098	0.70973134	-1.951379919
ENSMUSG00000030062	Rpn1	6	88061464	88082286	+	20823	-0.1834	7.0844	-3.537810079	0.00325067	0.70973134	-1.957089576
ENSMUSG00000018574	Acadvl	11	69901009	69906237	-	5229	-0.1599	5.5289	-3.517107206	0.00338757	0.70973134	-2.038764223
